city,name,business_id,longitude,is_open,stars,latitude,categories,UmbrellaTermCategory
las vegas,Citi Trends,hTzcHtk4-0QJnFUbkKpd5Q,-115.17691620000001,1,4.0,36.1783477,"Shopping, Fashion, Department Stores","Grocery,Shopping"
las vegas,CakesbyToi,vJIuDBdu01vCA8y1fwR1OQ,-115.15927179999998,0,1.5,36.1922841,"American (Traditional), Food, Bakeries, Restaurants","Restaurant-Bakery,Restaurant"
las vegas,Park Stone Pavers,YZCHr68c5aEVHz0bkq9K2g,-115.17112979999999,1,5.0,36.2608162,"Home Services, Masonry/Concrete, Professional Services, Contractors","Home Finishings,Service"
las vegas,Subway,kgffcoxT6BQp-gJ-UQ7Czw,-115.28198090000001,1,2.5,36.2017936,"Fast Food, Restaurants, Sandwiches",Restaurant
las vegas,Omelet House Summerlin,0jtRI7hVMpQHpUVtUy4ITw,-115.283122245,1,4.0,36.2019904392,"Beer, Wine & Spirits, Italian, Food, American (Traditional), Breakfast & Brunch, Restaurants","Restaurant-Pub,Restaurant,Restaurants-Pubs"
las vegas,Aria Remodeling,oSS0p8TeF9BTTD7QWtO6gg,-115.1908263,1,5.0,36.1316401,"Flooring, Cabinetry, Refinishing Services, Home Services, Masonry/Concrete, Tiling, Plumbing, Contractors","Home Finishings,Home Finishing,Home finishings,Service"
las vegas,Not Just Antiques Mart,DR30lzIHVTF6xhyMI-3IlQ,-115.160753,1,3.5,36.154233000000005,"Thrift Stores, Shopping, Used, Vintage & Consignment, Antiques, Fashion, Auction Houses","Shopping,Home Finishings,Bookstore,Thrift stores"
las vegas,Shower Solutions,syCI-5YJ8VJhFzHlzfpP0g,-115.22448529999998,1,2.0,36.3656399,"Home Services, Contractors","Home Finishings,Service"
las vegas,Baja Fresh Mexican Grill,JJEx5wIqs9iGGATOagE8Sg,-115.2677588,0,2.0,36.271169,"Mexican, Restaurants",Restaurant
las vegas,Provence Bakery,coVhQD_EAnCof_a8sGM03g,-115.211199,0,2.0,36.125587,"Bakeries, Food","Restaurant-Bakery,Restaurant"
las vegas,Vegas Vapolife,3jh0v0Gz7OOhDmWnQ7sP5g,-115.252954,0,4.5,36.274165999999994,"Shopping, Tobacco Shops, Vape Shops","Leisure-Vape,Shopping"
las vegas,GoPro Door & Glass,-26MGfikhJiTfCI-GqmzhQ,-115.22494840000002,1,4.0,36.1458459,"Door Sales/Installation, Home Services, Contractors, Glass & Mirrors","Home Finishings,Service"
las vegas,Popeyes Louisiana Kitchen,zhxnD7J5_sCrKSw5cwI9dQ,-115.07794469999999,1,1.5,36.1731404,"Chicken Wings, Restaurants, Fast Food",Restaurant
las vegas,Pizza Hut,2kWrSFkIes_d2BMg4YrRtA,-115.06169399999999,1,2.5,36.169353,"Restaurants, Pizza",Restaurant
las vegas,Sansei Japan,6llKs7K_tn8ChXcIM-oTvg,-115.1352534,1,4.5,36.1259335,"Japanese, Restaurants",Restaurant
las vegas,Las Vapors,HWeM3-ZiDnDTSTXzH2iH8g,-115.08840459999999,0,5.0,36.071453999999996,"Tobacco Shops, Vape Shops, Personal Shopping, Shopping","Shopping,Leisure-Vape"
las vegas,Seasonal Adventures Pumpkin Patch,nqnYDW_FMwuTejAPNEOhqA,-115.268934,1,3.0,36.274733399999995,"Party & Event Planning, Event Planning & Services, Amusement Parks, Food, Desserts, Active Life","Restaurant-Dessert,Restaurant,Service,Service Events,Outdoor Activities"
north las vegas,Advanced Brows,WuiRF916fJl6aG5wC8qRAg,-115.11631709999999,1,5.0,36.2777636,"Doctors, Eyebrow Services, Tattoo Removal, Beauty & Spas, Health & Medical","Hospital,Health & Wellness,Salon,Service"
las vegas,El Pollo Loco,YV9GVfmDSDM7HSV0jVdTOA,-115.1161439,1,3.0,36.0996708,"Restaurants, Salad, Fast Food, Mexican",Restaurant
las vegas,Popeyes Louisiana Kitchen,F7OsiFk9aLZtqZczA84xpw,-115.13630649999999,1,2.0,36.100395,"Southern, Chicken Wings, Fast Food, American (Traditional), Restaurants",Restaurant
las vegas,Las Vegas BikeFest,uE4H9oQikACJtu1ECBsoTQ,-115.1202663,1,2.5,36.0648695,"Arts & Entertainment, Local Flavor, Festivals","Religion,Art,Restaurant"
las vegas,GTS Properties,mJrBqVEDagmcodagO3wOlg,-115.207061079,1,2.5,36.2177894401,"Real Estate, Home Services, Property Management","Home Finishings,Service,Real Estate"
las vegas,Marshalls,qbiyJvvqK8w8a0Z2rgg8Hg,-115.2476202,1,3.5,36.0620159,"Fashion, Department Stores, Shopping","Grocery,Shopping"
las vegas,Bill Hargraves - Keller Williams Realty,YB08sDZJag_CwOLHAEaDQw,-115.2784416,1,5.0,36.1333968,"Home Services, Real Estate Agents, Real Estate","Home Finishings,Real Estate"
las vegas,TNT Pawn,89mRh-a5opfulKY70RW6zA,-115.26453159999998,1,4.5,36.14412670000001,"Pawn Shops, Shopping, Jewelry, Electronics","Repairs,Shopping,Repair"
las vegas,Chicago Brewing Company,XeDLyY2a7nZ3IEY4RYslXA,-115.29806570000001,1,3.5,36.147496000000004,"American (New), Restaurants, Food, Breweries, Brewpubs","Restaurant-Pub,Restaurant"
las vegas,Absolute Dental,9AN29iOOziAU89-tgFQdoQ,-115.1179043,1,2.0,36.018285999999996,"Endodontists, Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists","Hospital-Dentist,Health & Wellness,Medical,Hospital-Pediatricians,Hospital-Dental"
